BallotTypeId,ContestId
1,70
1,5
1,6
1,7
1,8
1,27
1,69
2,5
2,6
2,69
3,70
3,5
3,6
3,7
3,8
3,28
3,69
4,70
4,5
4,6
4,7
4,9
4,29
4,69
5,70
5,5
5,6
5,7
5,9
5,30
5,69
6,70
6,5
6,6
6,7
6,10
6,31
6,69
7,70
7,5
7,6
7,7
7,10
7,32
7,69
8,70
8,5
8,6
8,7
8,11
8,33
8,69
9,70
9,5
9,6
9,7
9,11
9,34
9,69
10,70
10,5
10,6
10,7
10,12
10,35
10,69
11,70
11,5
11,6
11,7
11,12
11,36
11,69
12,70
12,5
12,6
12,7
12,13
12,37
12,69
13,70
13,5
13,6
13,7
13,13
13,38
13,69
14,70
14,5
14,6
14,7
14,14
14,39
14,69
15,70
15,5
15,6
15,7
15,14
15,40
15,69
16,70
16,5
16,6
16,7
16,15
16,41
16,69
17,70
17,5
17,6
17,7
17,15
17,42
17,69
18,70
18,5
18,6
18,7
18,16
18,43
18,69
19,70
19,5
19,6
19,7
19,16
19,44
19,69
20,70
20,5
20,6
20,7
20,17
20,45
20,69
21,70
21,5
21,6
21,7
21,17
21,46
21,69
22,70
22,5
22,6
22,7
22,18
22,47
22,69
23,70
23,5
23,6
23,7
23,18
23,48
23,69
24,70
24,5
24,6
24,7
24,19
24,49
24,69
25,70
25,5
25,6
25,7
25,19
25,50
25,69
26,70
26,5
26,6
26,7
26,20
26,51
26,69
27,70
27,5
27,6
27,7
27,20
27,52
27,69
28,70
28,5
28,6
28,7
28,21
28,53
28,69
29,70
29,5
29,6
29,7
29,21
29,54
29,69
30,70
30,5
30,6
30,7
30,22
30,55
30,69
31,70
31,5
31,6
31,7
31,22
31,56
31,69
32,70
32,5
32,6
32,7
32,23
32,57
32,69
33,70
33,5
33,6
33,7
33,23
33,58
33,69
34,70
34,5
34,6
34,7
34,24
34,59
34,69
35,70
35,5
35,6
35,7
35,24
35,60
35,69
36,70
36,5
36,6
36,7
36,25
36,61
36,69
37,70
37,5
37,6
37,7
37,25
37,62
37,69
38,70
38,5
38,6
38,7
38,26
38,63
38,69
39,70
39,5
39,6
39,7
39,26
39,64
39,69
40,70
40,5
40,6
40,7
40,65
40,69
41,70
41,5
41,6
41,7
41,66
41,69
42,70
42,5
42,6
42,69
43,70
43,5
43,6
43,7
43,8
43,27
43,69
44,5
44,6
44,69
45,70
45,5
45,6
45,7
45,8
45,28
45,69
46,70
46,5
46,6
46,7
46,9
46,29
46,69
47,70
47,5
47,6
47,7
47,9
47,30
47,69
48,70
48,5
48,6
48,7
48,10
48,31
48,69
49,70
49,5
49,6
49,7
49,10
49,32
49,69
50,70
50,5
50,6
50,7
50,11
50,33
50,69
51,70
51,5
51,6
51,7
51,11
51,34
51,69
52,70
52,5
52,6
52,7
52,12
52,35
52,69
53,70
53,5
53,6
53,7
53,12
53,36
53,69
54,70
54,5
54,6
54,7
54,13
54,37
54,69
55,70
55,5
55,6
55,7
55,13
55,38
55,69
56,70
56,5
56,6
56,7
56,14
56,39
56,69
57,70
57,5
57,6
57,7
57,14
57,40
57,69
58,70
58,5
58,6
58,7
58,15
58,41
58,69
59,70
59,5
59,6
59,7
59,15
59,42
59,69
60,70
60,5
60,6
60,7
60,16
60,43
60,69
61,70
61,5
61,6
61,7
61,16
61,44
61,69
62,70
62,5
62,6
62,7
62,17
62,45
62,69
63,70
63,5
63,6
63,7
63,17
63,46
63,69
64,70
64,5
64,6
64,7
64,18
64,47
64,69
65,70
65,5
65,6
65,7
65,18
65,48
65,69
66,70
66,5
66,6
66,7
66,19
66,49
66,69
67,70
67,5
67,6
67,7
67,19
67,50
67,69
68,70
68,5
68,6
68,7
68,20
68,51
68,69
69,70
69,5
69,6
69,7
69,20
69,52
69,69
70,70
70,5
70,6
70,7
70,21
70,53
70,69
71,70
71,5
71,6
71,7
71,21
71,54
71,69
72,70
72,5
72,6
72,7
72,22
72,55
72,69
73,70
73,5
73,6
73,7
73,22
73,56
73,69
74,70
74,5
74,6
74,7
74,23
74,57
74,69
75,70
75,5
75,6
75,7
75,23
75,58
75,69
76,70
76,5
76,6
76,7
76,24
76,59
76,69
77,70
77,5
77,6
77,7
77,24
77,60
77,69
78,70
78,5
78,6
78,7
78,25
78,61
78,69
79,70
79,5
79,6
79,7
79,25
79,62
79,69
80,70
80,5
80,6
80,7
80,26
80,63
80,69
81,70
81,5
81,6
81,7
81,26
81,64
81,69
82,70
82,5
82,6
82,7
82,65
82,69
83,70
83,5
83,6
83,7
83,66
83,69
84,70
84,5
84,6
84,69
