Description,Id,ExternalId
01-600 Ketchikan No. 1,1,01-600
01-610 Ketchikan No. 2,2,01-610
01-620 Ketchikan No. 3,3,01-620
01-640 North Tongass No. 1,4,01-640
01-650 North Tongass No. 2,5,01-650
01-660 Saxman,6,01-660
01-670 South Tongass,7,01-670
01-675 Coffman Cove,8,01-675
01-680 Metlakatla,9,01-680
01-690 Wrangell,10,01-690
02-700 Angoon,11,02-700
02-705 Craig,12,02-705
02-720 Hoonah,13,02-720
02-725 Hydaburg,14,02-725
02-730 Kake,15,02-730
02-735 Kasaan,16,02-735
02-740 Klawock,17,02-740
02-750 Pelican-Elfin Cove,18,02-750
02-755 Petersburg-Kupreanof,19,02-755
02-760 Port Alexander,20,02-760
02-765 Sitka No. 1,21,02-765
02-770 Sitka No. 2,22,02-770
02-775 Tenakee Springs,23,02-775
02-780 Thorne Bay,24,02-780
02-785 Yakutat,25,02-785
03-300 Auke Bay,26,03-300
03-305 Lynn Canal,27,03-305
03-310 Melvin Park,28,03-310
03-315 Mendenhall Glacier,29,03-315
03-320 Thunder Mountain,30,03-320
03-325 Gustavus,31,03-325
03-330 Haines No. 1,32,03-330
03-335 Haines No. 2,33,03-335
03-340 Klukwan,34,03-340
03-345 Skagway,35,03-345
04-100 Douglas,36,04-100
04-105 Juneau Airport Area,37,04-105
04-110 Juneau No. 1,38,04-110
04-115 Juneau No. 2,39,04-115
04-120 Juneau No. 3,40,04-120
04-125 Lemon Creek,41,04-125
04-130 Glacier Valley Area,42,04-130
04-135 North Douglas,43,04-135
05-800 Chiniak,44,05-800
05-810 Flats,45,05-810
05-815 Kodiak Island South,46,05-815
05-820 Kodiak No. 1,521,05-820
05-825 Kodiak No. 2,47,05-825
05-830 Mission Road,48,05-830
05-835 Old Harbor,522,05-835
05-840 Ouzinkie,49,05-840
05-845 Port Lions,50,05-845
05-860 Cordova,51,05-860
05-865 Seward-Lowell Point,52,05-865
05-870 Tatitlek,523,05-870
06-200 Anchor Point,53,06-200
06-210 Diamond Ridge,54,06-210
06-220 Fox River,55,06-220
06-230 Homer No. 1,56,06-230
06-240 Homer No. 2,57,06-240
06-250 Kachemak-Fritz Creek,58,06-250
06-260 Kasilof,59,06-260
06-270 Ninilchik,60,06-270
06-280 Seldovia-Kachemak Bay,61,06-280
07-005 Central,62,07-005
07 010 K Beach,63,07-010
07-015 Kenai No. 1,64,07-015
07-020 Kenai No. 2,65,07-020
07-025 Kenai No. 3,66,07-025
07-030 Soldotna,67,07-030
08-035 Bear Creek,68,08-035
08-040 Cooper Landing,69,08-040
08-045 Funny River No. 1,70,08-045
08-050 Funny River No. 2,71,08-050
