Description,Id,VotingLocationNumber,VotingLocationName,ExternalId,Type,ThresholdMin,ThresholdMax,WriteThresholdMin,WriteThresholdMax
ICR,1000,999,Remote,ICR,InternetVoting,0,0,0,0
01-600 Ketchikan No. 1 ICP,1600,1,Region I,,ImagecastEvolution,12,35,12,35
01-610 Ketchikan No. 2 ICP,1610,1,Region I,,ImagecastEvolution,12,35,12,35
01-620 Ketchikan No. 3 ICP,1620,1,Region I,,ImagecastEvolution,12,35,12,35
01-640 North Tongass No. 1 ICP,1640,1,Region I,,ImagecastEvolution,12,35,12,35
01-650 North Tongass No. 2 ICP,1650,1,Region I,,ImagecastEvolution,12,35,12,35
01-660 Saxman ICP,1660,1,Region I,,ImagecastEvolution,12,35,12,35
01-670 South Tongass ICP,1670,1,Region I,,ImagecastEvolution,12,35,12,35
01-675 Coffman Cove HC,1675,1,Region I,,ImagecastEvolution,12,35,12,35
01-680 Metlakatla ICP,1680,1,Region I,,ImagecastEvolution,12,35,12,35
01-690 Wrangell ICP,1690,1,Region I,,ImagecastEvolution,12,35,12,35
02-700 Angoon ICP,2700,1,Region I,,ImagecastEvolution,12,35,12,35
02-705 Craig ICP,2705,1,Region I,,ImagecastEvolution,12,35,12,35
02-720 Hoonah ICP,2720,1,Region I,,ImagecastEvolution,12,35,12,35
02-725 Hydaburg ICP,2725,1,Region I,,ImagecastEvolution,12,35,12,35
02-730 Kake ICP,2730,1,Region I,,ImagecastEvolution,12,35,12,35
02-735 Kasaan HC,2735,1,Region I,,ImagecastEvolution,12,35,12,35
02-740 Klawock ICP,2740,1,Region I,,ImagecastEvolution,12,35,12,35
02-750 Pelican-Elfin Cove HC,2750,1,Region I,,ImagecastEvolution,12,35,12,35
02-755 Petersburg-Kupreanof ICP,2755,1,Region I,,ImagecastEvolution,12,35,12,35
02-760 Port Alexander HC,2760,1,Region I,,ImagecastEvolution,12,35,12,35
02-765 Sitka No. 1 ICP,2765,1,Region I,,ImagecastEvolution,12,35,12,35
02-770 Sitka No. 2 ICP,2770,1,Region I,,ImagecastEvolution,12,35,12,35
02-775 Tenakee Springs HC,2775,1,Region I,,ImagecastEvolution,12,35,12,35
02-780 Thorne Bay ICP,2780,1,Region I,,ImagecastEvolution,12,35,12,35
02-785 Yakutat ICP,2785,1,Region I,,ImagecastEvolution,12,35,12,35
03-300 Auke Bay ICP,3300,1,Region I,,ImagecastEvolution,12,35,12,35
03-305 Lynn Canal ICP,3305,1,Region I,,ImagecastEvolution,12,35,12,35
03-310 Melvin Park ICP,3310,1,Region I,,ImagecastEvolution,12,35,12,35
03-315 Mendenhall Glacier ICP,3315,1,Region I,,ImagecastEvolution,12,35,12,35
03-320 Thunder Mountain ICP,3320,1,Region I,,ImagecastEvolution,12,35,12,35
03-325 Gustavus ICP,3325,1,Region I,,ImagecastEvolution,12,35,12,35
03-330 Haines No. 1 ICP,3330,1,Region I,,ImagecastEvolution,12,35,12,35
03-335 Haines No. 2 ICP,3335,1,Region I,,ImagecastEvolution,12,35,12,35
03-340 Klukwan HC,3340,1,Region I,,ImagecastEvolution,12,35,12,35
03-345 Skagway ICP,3345,1,Region I,,ImagecastEvolution,12,35,12,35
04-100 Douglas ICP,4100,1,Region I,,ImagecastEvolution,12,35,12,35
04-105 Juneau Airport Area ICP,4105,1,Region I,,ImagecastEvolution,12,35,12,35
04-110 Juneau No. 1 ICP,4110,1,Region I,,ImagecastEvolution,12,35,12,35
04-115 Juneau No. 2 ICP,4115,1,Region I,,ImagecastEvolution,12,35,12,35
04-120 Juneau No. 3 ICP,4120,1,Region I,,ImagecastEvolution,12,35,12,35
04-125 Lemon Creek ICP,4125,1,Region I,,ImagecastEvolution,12,35,12,35
04-130 Glacier Valley Area ICP,4130,1,Region I,,ImagecastEvolution,12,35,12,35
04-135 North Douglas ICP,4135,1,Region I,,ImagecastEvolution,12,35,12,35
05-800 Chiniak HC,5800,1,Region I,,ImagecastEvolution,12,35,12,35
05-810 Flats ICP,5810,1,Region I,,ImagecastEvolution,12,35,12,35
05-815 Kodiak Island South HC,5815,1,Region I,,ImagecastEvolution,12,35,12,35
05-820 Kodiak No. 1 ICP,5820,1,Region I,,ImagecastEvolution,12,35,12,35
05-825 Kodiak No. 2 ICP,5825,1,Region I,,ImagecastEvolution,12,35,12,35
05-830 Mission Road ICP,5830,1,Region I,,ImagecastEvolution,12,35,12,35
05-835 Old Harbor HC,5835,1,Region I,,ImagecastEvolution,12,35,12,35
05-840 Ouzinkie HC,5840,1,Region I,,ImagecastEvolution,12,35,12,35
05-845 Port Lions HC,5845,1,Region I,,ImagecastEvolution,12,35,12,35
05-860 Cordova ICP,5860,1,Region I,,ImagecastEvolution,12,35,12,35
05-865 Seward-Lowell Point ICP,5865,1,Region I,,ImagecastEvolution,12,35,12,35
05-870 Tatitlek HC,5870,1,Region I,,ImagecastEvolution,12,35,12,35
06-200 Anchor Point ICP,6200,1,Region I,,ImagecastEvolution,12,35,12,35
06-210 Diamond Ridge ICP,6210,1,Region I,,ImagecastEvolution,12,35,12,35
06-220 Fox River ICP,6220,1,Region I,,ImagecastEvolution,12,35,12,35
06-230 Homer No. 1 ICP,6230,1,Region I,,ImagecastEvolution,12,35,12,35
06-240 Homer No. 2 ICP,6240,1,Region I,,ImagecastEvolution,12,35,12,35
06-250 Kachemak-Fritz Creek ICP,6250,1,Region I,,ImagecastEvolution,12,35,12,35
06-260 Kasilof ICP,6260,1,Region I,,ImagecastEvolution,12,35,12,35
06-270 Ninilchik ICP,6270,1,Region I,,ImagecastEvolution,12,35,12,35
06-280 Seldovia-Kachemak Bay ICP,6280,1,Region I,,ImagecastEvolution,12,35,12,35
07-005 Central ICP,7005,3,Region V,,ImagecastEvolution,12,35,12,35
07-010 K Beach ICP,7010,3,Region V,,ImagecastEvolution,12,35,12,35
07-015 Kenai No. 1 ICP,7015,3,Region V,,ImagecastEvolution,12,35,12,35
07-020 Kenai No. 2 ICP,7020,3,Region V,,ImagecastEvolution,12,35,12,35
07-025 Kenai No. 3 ICP,7025,3,Region V,,ImagecastEvolution,12,35,12,35
07-030 Soldotna ICP,7030,3,Region V,,ImagecastEvolution,12,35,12,35
08-035 Bear Creek ICP,8035,3,Region V,,ImagecastEvolution,12,35,12,35
08-040 Cooper Landing ICP,8040,3,Region V,,ImagecastEvolution,12,35,12,35
08-045 Funny River No. 1 ICP,8045,3,Region V,,ImagecastEvolution,12,35,12,35
08-050 Funny River No. 2 ICP,8050,3,Region V,,ImagecastEvolution,12,35,12,35
08-055 Hope ICP,8055,3,Region V,,ImagecastEvolution,12,35,12,35
08-060 Mackey Lake ICP,8060,3,Region V,,ImagecastEvolution,12,35,12,35
08-065 Moose Pass ICP,8065,3,Region V,,ImagecastEvolution,12,35,12,35
08-070 Nikiski ICP,8070,3,Region V,,ImagecastEvolution,12,35,12,35
08-075 Salamatof ICP,8075,3,Region V,,ImagecastEvolution,12,35,12,35
08-080 Sterling No. 1 ICP,8080,3,Region V,,ImagecastEvolution,12,35,12,35
