Campaign_Start,Campaign_End,Executed_Date,Campaign_Id,Campaign,Campaign_Category,Category,Market_Area,Channel,Provider,Targeted_Sent,Delivered,Opened_Displayed,Clicked,Unsubscription,Model,HYBRIS_ID,date
20161003,20161010,20161003,2344,TSE_S7_Promo_N1_to_5_Push,GCRM,ONCE,TH,PUSH,,703316,,335383,,,S7,0000002344,2016-10-03
20161003,20161010,20161003,2343,TSE_S7_Promo_S1_to_5_Push,GCRM,ONCE,TH,PUSH,,852953,,151983,,,S7,0000002343,2016-10-03
20161007,20161014,20161007,2383,T_New_Seg_Profile_ID_PN_161004,GCRM,ONCE,ID,PUSH,,1,,,,,,0000002383,2016-10-07
20161017,20161019,20161017,2533,SAVINA_J-Brand_Survey_PushRem_Grp0,GCRM,ONCE,VN,PUSH,,528541,,159597,28088,,,0000002533,2016-10-17
20161017,20161019,20161017,2534,SAVINA_J-Brand_Survey_PushRem_Grp1,GCRM,ONCE,VN,PUSH,,925,,249,55,,,0000002534,2016-10-17
20161017,20161019,20161017,2543,SAVINA_J-Brand_Survey_PushRem_Grp10,GCRM,ONCE,VN,PUSH,,42013,,9921,1008,,,0000002543,2016-10-17
20161017,20161019,20161017,2544,SAVINA_J-Brand_Survey_PushRem_Grp11,GCRM,ONCE,VN,PUSH,,3658,,815,102,,,0000002544,2016-10-17
20161017,20161019,20161017,2545,SAVINA_J-Brand_Survey_PushRem_Grp12,GCRM,ONCE,VN,PUSH,,288766,,100625,10230,,,0000002545,2016-10-17
20161017,20161019,20161017,2535,SAVINA_J-Brand_Survey_PushRem_Grp2,GCRM,ONCE,VN,PUSH,,1451,,482,145,,,0000002535,2016-10-17
20161017,20161019,20161017,2536,SAVINA_J-Brand_Survey_PushRem_Grp3,GCRM,ONCE,VN,PUSH,,892,,270,68,,,0000002536,2016-10-17
20161017,20161019,20161017,2537,SAVINA_J-Brand_Survey_PushRem_Grp4,GCRM,ONCE,VN,PUSH,,1230,,317,64,,,0000002537,2016-10-17
20161017,20161019,20161017,2538,SAVINA_J-Brand_Survey_PushRem_Grp5,GCRM,ONCE,VN,PUSH,,160,,48,9,,,0000002538,2016-10-17
20161017,20161019,20161017,2539,SAVINA_J-Brand_Survey_PushRem_Grp6,GCRM,ONCE,VN,PUSH,,17714,,3665,684,,,0000002539,2016-10-17
20161017,20161019,20161017,2540,SAVINA_J-Brand_Survey_PushRem_Grp7,GCRM,ONCE,VN,PUSH,,31664,,7327,762,,,0000002540,2016-10-17
20161017,20161019,20161017,2541,SAVINA_J-Brand_Survey_PushRem_Grp8,GCRM,ONCE,VN,PUSH,,98438,,23630,2258,,,0000002541,2016-10-17
20161017,20161019,20161017,2542,SAVINA_J-Brand_Survey_PushRem_Grp9,GCRM,ONCE,VN,PUSH,,40628,,9519,881,,,0000002542,2016-10-17
20161018,20161025,20161018,2560,SEPCO_J7_PrimePreOrder_FINAL_PN,GCRM,ONCE,PH,PUSH,,241188,,102755,11230,,J,0000002560,2016-10-18
20161018,20161025,20161018,2559,SEPCO_J7_PrimePreOrder_PN,GCRM,ONCE,PH,PUSH,,670544,,,,,J,0000002559,2016-10-18
20161017,20161019,20161018,2546,SAVINA_J-Brand_Survey_PushRem_Grp13,GCRM,ONCE,VN,PUSH,,271998,,,,,,0000002546,2016-10-18
20161017,20161019,20161018,2561,SAVINA_J-Brand_Survey_PushRem_Grp13A,GCRM,ONCE,VN,PUSH,,144552,,,,,,0000002561,2016-10-18
20161017,20161019,20161018,2563,SAVINA_J-Brand_Survey_PushRem_Grp13AA,GCRM,ONCE,VN,PUSH,,820461,,267064,6669,,,0000002563,2016-10-18
20161017,20161019,20161018,2562,SAVINA_J-Brand_Survey_PushRem_Grp13B,GCRM,ONCE,VN,PUSH,,317116,,,,,,0000002562,2016-10-18
20161017,20161019,20161018,2564,SAVINA_J-Brand_Survey_PushRem_Grp13BB,GCRM,ONCE,VN,PUSH,,820456,,267297,7939,,,0000002564,2016-10-18
20161024,20161030,20161024,2611,SAVINA_S7_TradeIn_Oct24_PN,GCRM,ONCE,VN,PUSH,,435304,,195889,41421,,S7,0000002611,2016-10-24
20161027,20161103,20161027,2646,SAVINA_S7_TRADEUP_PN,GCRM,ONCE,VN,PUSH,,571776,,364468,62586,,S7,0000002646,2016-10-27
20161028,20161104,20161028,2686,SEIN_Gear360_ExclusiveOffers_Push,GCRM,ONCE,ID,PUSH,,48223,,,,,,0000002686,2016-10-28
20161028,20161104,20161028,2687,SEIN_Gear360_ExclusiveOffers_v2_Push,GCRM,ONCE,ID,PUSH,,133387,,96337,17405,,,0000002687,2016-10-28
20161104,20161111,20161104,2766,SEIN_HA_TukarUntung_Push,GCRM,ONCE,ID,PUSH,,77454,,38143,12186,,REF,0000002766,2016-11-04
20161101,20161231,20161107,2423,DDM-Sweepstakes-TH-A5-6-SSwon-C1_EDM,GCRM,ONCE,TH,EMAIL,,713085,495099,20079,5432,,,0000002423,2016-11-07
20161107,20161114,20161107,2774,T_email_ex4,GCRM,ONCE,TH,EMAIL,,1,1,1,,,,0000002774,2016-11-07
