id,country,region,city,language,gender,birth_year,birth_month,last_ia_timestamp,optin_channel
005056BF63C01EECB48DF3F1EE06D0AD,LA,,,,,,,,Y
005056BFF94F1EDCB49008A92F58240B,LA,,,,,,,,Y
005056BFC8E81EECB4F23EBF16E71EE4,LA,,,,,,,,Y
005056BFAFAF1EDCBEA8A014D598377A,LA,,,E,,,,,
005056BFC8E81EECB4F23EBE07F2DEE4,LA,,,,,,,,Y
005056BFC8E81EECB4F243E22659BEEA,LA,,,,,,,,Y
005056BF63C01EDCA7C45087976E5E38,LA,,,E,,,,,Y
005056BFF94F1EECB4F4A4EAA2548DA8,LA,,,,,,,,Y
005056BFC8E81EECB4F2195D089C9CBD,LA,,,,,,,,N
005056B85CC51EDAA9896FBE121C0487,LA,,,E,,,,,
005056BF63C01EDCB58A87529D8BAA5F,LA,,,E,,,,,
005056BFF94F1EECAECD2AF4745855EF,LA,13,SEESATTANARK,E,,,,,
005056BF63C01EDCB58ABC0220A3CC99,LA,,,E,,,,,
005056BF63C01EECB4D8B29890D66AFA,LA,,,E,,,,,N
005056BF63C01EDCB58AC2888E55ED3B,LA,04,,E,,,,,
005056BF63C01EDCB58AC2888E4FED3B,LA,,,E,,,,,
005056BF63C01EDCB58AC282BB282D3B,LA,13,,E,,,,,
005056BF63C01EDCB58AC27E66036D34,LA,,,E,,,,,
005056BF63C01EECB4D86C67D7052790,LA,04,,E,,,,,
005056BF63C01EDCB58AC9D8AC786DAE,LA,04,,E,,,,,
005056BF63C01EDCB58AC9D6FBD90DAE,LA,13,,E,,,,,
005056BF63C01EDCB58AC9D55FEF4DAE,LA,13,,E,,,,,
005056BF63C01EDCB58AC9D1E655EDAE,LA,,,E,,,,,
005056BF63C01EDCB58AD06869F92DB0,LA,13,,E,,,,,
005056BF63C01EDCB58AD06869CFCDB0,LA,,,E,,,,,
005056BF63C01EDCB58AD066D6BA0DB0,LA,,,E,,,,,
005056BF63C01EDCB58AD71948A0CDB4,LA,,,E,,,,,
005056BF63C01EDCB58AD719488FCDB4,LA,,,E,,,,,
005056BF63C01EDCB58AD70683078DB4,LA,,,E,,,,,
005056BF63C01EDCB58ADE7A53B9EEC9,LA,12,,E,,,,,
005056BF63C01EDCB58ADE782B9B0EC9,LA,11,,E,,,,,
005056BF63C01EDCB58ADE7459D82EC9,LA,,,E,,,,,
005056BF63C01EDCB58AE6592F6AAECE,LA,,,E,,,,,
005056BF63C01EDCB58AE655E2F70ECE,LA,13,,E,,,,,
005056BF63C01EDCB58AED3E2CCD0ED1,LA,,,E,,,,,
005056BF63C01EDCB58AED3CB06D6ED1,LA,,,E,,,,,
005056BF63C01EECB48D0F9E979346BE,LA,13,,E,,,,,
005056BF63C01EDCB58AF5013ADF2FE6,LA,,,E,,,,,
005056BF63C01EDCB58AFCA608A56FEF,LA,,,E,,,,,
005056BF63C01EDCB58AFCA25D306FEF,LA,,,E,,,,,
005056BF63C01EDCB58AFCA25CDEEFEF,LA,,,E,,,,,
005056BF63C01EDCB0CB76A46D78A9BA,LA,,,E,,,,,N
005056BF63C01EDCB58B04979E5BF010,LA,,,E,,,,,
005056BF63C01EDCB68881F2F2E45449,LA,,,E,,,,,
005056B829D81EDBBBDE5B1811931B96,LA,,,E,,,,,Y
005056BFC8E81EDCBFBFB68824616877,LA,,,E,,,,,
005056BF63C01EDCB58B188C3E7550EE,LA,,,,,,,,Y
005056BF63C01EDCB58B42712FC6530B,LA,,,,,,,,Y
005056BFAFAF1EEC9FD60D1A9EF151C6,LA,,,E,,,,,
005056BF63C01EDCB68891379FA4F53C,LA,,,E,,,,,
005056BF63C01EDCB68891379F47F53C,LA,,,E,,,,,
005056BF63C01EDCB68891321074553C,LA,,,E,,,,,
005056BF63C01EDCB6889132100F753C,LA,,,E,,,,,
005056BF63C01EDCB58B5127BE127423,LA,,,,,,,,Y
005056BFC8E81EECB883ECB9D8500220,LA,,,E,,,,,
005056BFAFAF1EDCBEA8A6BEBF4E177C,LA,13,,E,,,,,
005056BFC8E81EECB883ECB7B2634220,LA,,,E,,,,,
005056BFC8E81EECB883ECB3E7246220,LA,,,E,,,,,
005056BFC8E81EECB883ECB3E6FD4220,LA,,,E,,,,,
005056BFAFAF1EDCBEA8A6AB73AE177C,LA,13,,E,,,,,
005056B829D81EEAB0D6955D36275F83,LA,,,E,,,,,
005056BFF94F1EDCB58DC674700A7BD2,LA,,,,,,,,Y
005056BF63C01EECB0C9D67D4AA7DDA8,LA,,,,,,,,Y
005056BF63C01EDCB68898E410361541,LA,,,E,,,,,
005056BF63C01EDCB68898D6DC353541,LA,,,E,,,,,
005056BF63C01EDCB68898D6DBFBF541,LA,,,E,,,,,
005056BFC8E81EECB590DB446F78B6A7,LA,,,,,,,,Y
005056B8A9EA1EEAA6AA24CB4ACB2B3B,LA,,,E,,,,,
005056BF63C01EDCB688A08D9B06F547,LA,13,,E,,,,,
005056BFC8E81EDC92DA346B12CC0E21,LA,13,,E,,,,,
005056BFC8E81EECB7864E168A0F189D,LA,,,E,,,,,
005056BF63C01EDCB688A77210BE9643,LA,13,,E,,,,,
005056BF63C01EDCB688A76EF46D7643,LA,13,,E,,,,,
005056BF63C01EDCB688A768D21A1643,LA,13,,E,,,,,
005056BF63C01EDCB688A768D1DF9643,LA,,,E,,,,,
005056BFC8E81EECB78653DD5FC8D8A2,LA,13,,E,,,,,
005056BFC8E81EECB78653DBD2CFF8A2,LA,04,,E,,,,,
005056BF63C01EDCB688AF5D013AB64D,LA,,,E,,,,,
005056BF63C01EDCB688AF5B76C2164D,LA,13,,E,,,,,
005056BF63C01EDCB688AF5B768EB64D,LA,13,,E,,,,,
005056BF63C01EDCB688AF582A26764D,LA,13,,E,,,,,
