"tier","agency","principal__l1","shop_id","is_cbp","offsite__managed","paid_ads__managed","metrics","grass_month","month","actual_2021","target_2022"
"Tier 1","GroupM","KC","35284879","CBP","1","1","others","2021-08-01 00:00:00.0","8","0.6","0.96"
"Tier 1","GroupM","Unilever","26947756","CBP","1","1","google","2021-06-01 00:00:00.0","6","3540.779999999999","5665.247999999999"
"Tier 1","GroupM","Bayer","165012996","Non CBP","1","1","fb cpas","2021-03-01 00:00:00.0","3","1321.6000000000004","4361.280000000001"
"Tier 2","1 Digital","Huawei","93963889","CBP","0","0","google","2021-05-01 00:00:00.0","5","0.0","0.0"
"Tier 1","GroupM","Bayer","165012996","Non CBP","1","1","fb non cpas","2021-12-01 00:00:00.0","12","605.8","1999.1399999999996"
"Tier 1","Publicis","L'Oreal ACD","37147137","CBP","1","1","google","2021-11-01 00:00:00.0","11","2159.8","3455.6800000000003"
"Tier 1","Dentsu","RB Health","61792033","CBP","1","0","fb non cpas","2021-01-01 00:00:00.0","1","354.42999999999995","567.088"
"Tier 1","Dentsu","Glico","322645754","Non CBP","1","0","fb cpas","2021-07-01 00:00:00.0","7","345.44999999999993","1139.9849999999997"
"Tier 2","OnPoint","CJ","253598734","Non CBP","1","1","fb cpas","2021-02-01 00:00:00.0","2","61.600000000000016","203.28000000000003"
"Tier 1","GroupM","OPPO","25452983","Non CBP","1","1","fb cpas","2021-12-01 00:00:00.0","12","1429.0499999999997","4715.864999999999"
"Tier 1","GroupM","Coca-cola","111656812","Non CBP","1","1","others","2021-11-01 00:00:00.0","11","5.4","17.82"
"Tier 1","GroupM","Nestlé","269296276","CBP","1","1","fb non cpas","2021-12-01 00:00:00.0","12","448.3999999999999","717.4399999999999"
"Tier 2","PMAX","Unilever","219192749","CBP","1","0","fb cpas","2021-10-01 00:00:00.0","10","2913.749999999999","4661.999999999999"
"Tier 1","GroupM","P&G","89960894","CBP","1","1","fb non cpas","2021-05-01 00:00:00.0","5","375.36000000000007","600.5760000000001"
"Tier 1","GroupM","OPPO","25452983","Non CBP","1","1","fb non cpas","2021-06-01 00:00:00.0","6","8.97","29.601"
"Tier 1","Dentsu","Mentholatum","59597911","CBP","1","0","fb cpas","2021-12-01 00:00:00.0","12","7900.9","12641.44"
"Tier 2","1 Digital","Seagate","279742060","Non CBP","0","0","fb non cpas","2021-03-01 00:00:00.0","3","0.0","0.0"
"Tier 2","OnPoint","Shiseido Prestige","392896126","Non CBP","0","0","fb non cpas","2021-04-01 00:00:00.0","4","0.0","0.0"
"Tier 1","OMD","LG Electronics","95303264","CBP","1","1","fb cpas","2021-10-01 00:00:00.0","10","2058.0","3292.8"
